model_name,rssi_mse,rssi_r2,snr_mse,snr_r2,path_loss_mse,path_loss_r2,average_r2
Neural_Network,N/A,N/A,N/A,N/A,N/A,0.7655069936642767,0.6616196641358145
Random_Forest,N/A,N/A,N/A,N/A,N/A,0.8134559747826957,0.7089070940858982
XGBoost,N/A,N/A,N/A,N/A,N/A,0.8104050208170516,0.7145581368323275
Ensemble,N/A,N/A,N/A,N/A,N/A,0.8108503821732587,0.7109148868712946
