device_id,gateway_id,latitude,longitude,altitude,timestamp,RSSI,SNR,spreading_factor,distance_to_start,distance_to_destination,elevation,land_cover_code,land_cover_label,terrain_penalty,observed_path_loss,theoretical_path_loss,excess_loss,PDR
1.0,Gateway_1,42.47050775755835,-9.001788139343253,58.9000015258789,1575451237.919151,-109.0,4.2,12,963.1368657901943,680.2327816551077,1.0,60,Bare / sparse vegetation,0.2,123.0,94.8941546350943,28.105845364905704,0.9999374784962252
1.0,Gateway_2,42.47050775755835,-9.001788139343253,58.9000015258789,1575451237.919151,-107.0,5.2,12,3250.1089502058526,680.2327816551077,1.0,60,Bare / sparse vegetation,0.2,121.0,105.4583528965235,15.541647103476507,0.9999580905827115
1.0,Gateway_3,42.47050775755835,-9.001788139343253,58.9000015258789,1575451237.919151,-120.0,-13.5,12,5770.190069152101,680.2327816551077,1.0,60,Bare / sparse vegetation,0.2,134.0,110.44419688319353,23.555803116806473,0.9257264217856661
1.0,Gateway_1,42.47055353393555,-9.001777548925782,57.0,1575451312.525759,-109.0,4.2,11,964.5082821294179,681.3755586647666,1.0,60,Bare / sparse vegetation,0.2,123.0,94.90651372825309,28.09348627174691,0.999830048932401
1.0,Gateway_2,42.47055353393555,-9.001777548925782,57.0,1575451312.525759,-107.0,5.0,11,3245.135563248851,681.3755586647666,1.0,60,Bare / sparse vegetation,0.2,121.0,105.44505138074875,15.554948619251249,0.9998765901959134
1.0,Gateway_3,42.47055353393555,-9.001777548925782,57.0,1575451312.525759,-119.0,-12.5,11,5767.006385655419,681.3755586647666,1.0,60,Bare / sparse vegetation,0.2,133.0,110.43940314941166,22.56059685058834,0.8646647167633873
1.0,Gateway_1,42.47052301535742,-9.001910209555753,25.79999923705055,1575451443.438279,-110.0,5.5,10,954.3616902623918,668.317929450858,1.0,60,Bare / sparse vegetation,0.2,124.0,94.81465445706107,29.185345542938933,0.9997253464300279
1.0,Gateway_2,42.47052301535742,-9.001910209555753,25.79999923705055,1575451443.438279,-107.0,8.8,10,3246.8540542336596,668.317929450858,1.0,60,Bare / sparse vegetation,0.2,121.0,105.44964985495041,15.550350145049592,0.9999266303356495
1.0,Gateway_3,42.47052301535742,-9.001910209555753,25.79999923705055,1575451443.438279,-120.0,-15.8,10,5762.12081097996,668.317929450858,1.0,60,Bare / sparse vegetation,0.2,134.0,110.43204169623904,23.56795830376096,0.0
1.0,Gateway_1,42.45993537084951,-9.002394575208495,50.70000075293945,1575451947.725535,-99.0,7.0,12,1417.2474772852634,1282.091689052061,0.0,80,Permanent water bodies,0.0,113.0,99.24930835583301,13.750691644166992,0.9999947116274186
1.0,Gateway_2,42.45993537084951,-9.002394575208495,50.70000075293945,1575451947.725535,-105.0,5.2,12,4413.914547991467,1282.091689052061,0.0,80,Permanent water bodies,0.0,119.0,109.11687292555685,9.883127074443152,0.9999881122250378
1.0,Gateway_3,42.45993537084951,-9.002394575208495,50.70000075293945,1575451947.725535,-120.0,-14.0,12,6657.066969257587,1282.091689052061,0.0,80,Permanent water bodies,0.0,134.0,112.6860530219616,21.313946978038402,0.9327944872602503
1.0,Gateway_1,42.47024535132813,-9.002385139455331,1.399999975158142,1575452025.504405,-104.0,7.2,11,914.6317129505985,626.8262709440277,1.0,60,Bare / sparse vegetation,0.2,118.0,94.44531961478559,23.55468038521441,0.9999488117221309
1.0,Gateway_2,42.47024535132813,-9.002385139455331,1.399999975158142,1575452025.504405,-111.0,3.8,11,3273.1169261713835,626.8262709440277,1.0,60,Bare / sparse vegetation,0.2,125.0,105.51962490290101,19.480375097098985,0.9998005605746358
1.0,Gateway_1,42.45975089477539,-9.002907752990723,55.4000015258789,1575452155.394878,-114.0,2.0,10,1406.5558342701217,1280.421675300688,0.0,80,Permanent water bodies,0.0,128.0,99.18353403318633,28.816465966813666,0.9995239558709778
1.0,Gateway_2,42.45975089477539,-9.002907752990723,55.4000015258789,1575452155.394878,-114.0,2.0,10,4431.35171397571,1280.421675300688,0.0,80,Permanent water bodies,0.0,128.0,109.15111892585902,18.848881074140976,0.9995239558709778
