model_name,rssi_mse,rssi_r2,snr_mse,snr_r2,path_loss_mse,path_loss_r2,average_r2
Neural_Network,80.19740620341817,0.7212659044889862,35.93353968847129,0.38194254060991106,79.4473193084524,0.723872906412373,0.6090271171704235
Random_Forest,54.91860008120244,0.8091249200561725,29.230516342475035,0.49723464974738274,54.88852297026478,0.8092294560593885,0.7051963419543146
XGBoost,55.130746705849575,0.8083875832726517,29.198068179051276,0.497792758679078,55.130765097935225,0.808387519349121,0.7048559537669502
Ensemble,56.108141064373285,0.8049905515558198,28.988335801981346,0.5014001589309733,55.864240446676206,0.8058382525138275,0.7040763210002069
