beacon_number,latitude,longitude,elevation_m,land_cover,terrain_penalty,rssi_dbm,snr_db,pdr,path_loss_db,path_built_up_fraction,path_vegetation_fraction,path_water_fraction,path_avg_penalty,path_elevation_std,max_terrain_obstruction_m
1,51.5,-0.12,5.0,80,0.0,-120.0,-10.0,0.0,120.0,0.0,0.0,0.0,0.5,0.0,0.0
2,51.50955882138549,-0.11553921665961739,3.0,80,0.0,-90.59424591064453,4.546179294586182,0.9436658771119567,104.59423828125,0.0,0.0,0.0,0.5,0.0,0.0
3,51.52394838296931,-0.12073439351223524,31.0,10,0.6,-95.7706069946289,2.803128242492676,0.6890044736006292,109.7706069946289,0.0,0.0,0.0,0.5,0.0,0.0
4,51.528675869797716,-0.1066237270950305,35.0,10,0.7,-96.17851257324219,2.9336349964141846,0.6931835730705254,110.17847442626953,0.0,0.0,0.0,0.5,0.0,0.0
5,51.53823409644381,-0.10216902412793069,43.0,10,0.6,-98.63984680175781,7.537175178527832,0.8184046857356384,112.63982391357422,0.0,0.0,0.0,0.5,0.0,0.0
6,51.54779212446249,-0.09771635121150342,36.0,10,0.7,-100.80850982666016,3.3048319816589355,0.7048964908450499,114.80848693847656,0.0,0.0,0.0,0.5,0.0,0.0
7,51.55251980991778,-0.08360365974951844,30.0,10,0.6,-94.18206024169922,0.5796802043914795,0.6134771497879106,108.18203735351562,0.0,0.0,0.0,0.5,0.0,0.0
8,51.56690758385444,-0.08881710206121662,30.0,10,0.7,-96.3554458618164,1.5383412837982178,0.6469709835240297,110.35543823242188,0.0,0.0,0.0,0.5,0.0,0.0
9,51.57405043975297,-0.07953670165227643,34.0,10,0.7,-104.1587142944336,2.0216503143310547,0.663347455920965,118.15869140625,0.0,0.0,0.0,0.5,0.0,0.0
10,51.57636355049539,-0.06058866920063752,10.0,80,0.0,-98.31721496582031,3.522582769393921,0.9175135346343947,112.31720733642578,0.0,0.0,0.0,0.5,0.0,0.0
11,51.583506407003114,-0.05130675261805479,6.0,80,0.0,-101.03793334960938,4.862082004547119,0.950018703261152,115.03791809082031,0.0,0.0,0.0,0.5,0.0,0.0
12,51.593064234805304,-0.04685991854180492,8.0,80,0.0,-95.51084899902344,5.206693649291992,0.9561725250542178,109.51083374023438,0.0,0.0,0.0,0.5,0.0,0.0
13,51.60262186334315,-0.042415121989387225,11.0,30,0.1,-98.29978942871094,4.031248569488525,0.8616127011532504,112.29977416992188,0.0,0.0,0.0,0.5,0.0,0.0
14,51.6049349765251,-0.023461012292353693,11.0,30,0.1,-102.17522430419922,5.140280723571777,0.8946626443321035,116.17521667480469,0.0,0.0,0.0,0.5,0.0,0.0
15,51.61207783303204,-0.014179101994000076,20.0,10,0.7,-98.95671081542969,3.9281680583953857,0.7239669642908232,112.95670318603516,0.0,0.0,0.0,0.5,0.0,0.0
16,51.61439015276925,0.0047775141206386025,32.0,10,0.7,-102.11643981933594,0.39514869451522827,0.6068933924230512,116.1164321899414,0.0,0.0,0.0,0.5,0.0,0.0
17,51.61911744329277,0.018898287645084475,57.0,10,0.6,-101.46278381347656,4.520981311798096,0.7413787892401587,115.4627456665039,0.0,0.0,0.0,0.5,0.0,0.0
18,51.62384453526494,0.03302006853158672,81.0,10,0.7,-99.14356994628906,3.1310346126556396,0.6994447464702821,113.14353942871094,0.0,0.0,0.0,0.5,0.0,0.0
19,51.62373890464794,0.056816983284853115,16.0,30,0.15,-103.2187728881836,1.4039177894592285,0.7489644546084789,117.21878051757812,0.0,0.0,0.0,0.5,0.0,0.0
20,51.6332981230979,0.06126665384172305,15.0,30,0.1,-92.20796966552734,7.744128227233887,0.9462598034101192,106.20794677734375,0.0,0.0,0.0,0.5,0.0,0.0
21,51.63560805843958,0.08022927221888283,34.0,30,0.1,-106.09135437011719,4.812187671661377,0.8856859098979094,120.09133911132812,0.0,0.0,0.0,0.5,0.0,0.0
22,51.637917198103565,0.09919287610739186,44.0,40,0.15,-104.2369155883789,8.154471397399902,0.9348453749477936,118.23689270019531,0.0,0.0,0.0,0.5,0.0,0.0
23,51.647477012853166,0.10364409609389971,23.0,30,0.15,-104.76191711425781,6.230139255523682,0.9201538327577744,118.76189422607422,0.0,0.0,0.0,0.5,0.0,0.0
24,51.65703662918022,0.10809327726357583,33.0,40,0.15,-102.78854370117188,5.996125221252441,0.8932170467996258,116.78853607177734,0.0,0.0,0.0,0.5,0.0,0.0
25,51.66901240868476,0.10769903866475264,72.0,30,0.1,-104.81328582763672,4.592983722686768,0.8793230747031371,118.81327056884766,0.0,0.0,0.0,0.5,0.0,0.0
26,51.673738903934435,0.12182765929723538,57.0,30,0.15,-106.47869873046875,3.96325945854187,0.8593271416390282,120.47866821289062,0.0,0.0,0.0,0.5,0.0,0.0
27,51.67846519992018,0.135957290832922,38.0,30,0.1,-105.29353332519531,5.4770588874816895,0.9032244312368256,119.29350280761719,0.0,0.0,0.0,0.5,0.0,0.0
28,51.690440980036776,0.13555847334940369,48.0,40,0.15,-101.85633087158203,7.190389156341553,0.9185343085602757,115.85633087158203,0.0,0.0,0.0,0.5,0.0,0.0
29,51.69758383715409,0.14484495221046595,87.0,30,0.1,-108.64627838134766,2.8337018489837646,0.8165935149090126,122.6462631225586,0.0,0.0,0.0,0.5,0.0,0.0
